identifier,creator,date,title,subjects,description,location,physical_description,language,file_type,source_collection,rights,image_url
//hdl.loc.gov/loc.pnp/jpd.00505,Andō Hiroshige 1797-1858,1841-01-01,Ayu zu,"color, japan, japanese, trout, ukiyo-e, woodcuts","1 print : woodcut, color ; 25.3 x 37.2 cm. | Print shows four trout in a stream.",Japan,"photo, print, drawing",eng jpn,image/gif; image/jpg; image/tif,"fine prints: japanese, pre-1915, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/jpd/00500/00505r.jpg#h=444&w=640
https://hdl.loc.gov/loc.pnp/mrg.07416,Margolies John,1980,"Big Fish Supper Club, Bena, Minnesota","bena, color, mimetic buildings, minnesota, slides, united states",1 photograph : color transparency ; 35 mm (slide format).,"Minnesota, Bena, United states","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"john margolies roadside america photograph archive, prints and photographs division, catalog","No known restrictions on publication. For more information, see ""John Margolies Roadside America Photograph Archive - Rights and Restrictions Information"" https://www.loc.gov/rr/print/res/723_marg.html",https://tile.loc.gov/storage-services/service/pnp/mrg/07400/07416v.jpg#h=705&w=1024
https://hdl.loc.gov/loc.pnp/nclc.00972,Hine Lewis Wickes 1874-1940,1911-01-01,"Three young cutters who work in Seacoast Canning Co., Factory #4. Ages 10 to 12. Work regularly.  Location: Eastport, Maine.","boys, cannery workers, eastport, fish, maine, photographic prints, united states",1 photographic print.,"Maine, United states, Eastport","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 7476, national child labor committee collection, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions on publication. For information see: ""National Child Labor Committee (Lewis Hine photographs),"" https://hdl.loc.gov/loc.pnp/res.097.hine",https://tile.loc.gov/storage-services/service/pnp/nclc/00900/00972r.jpg#h=379&w=640
//hdl.loc.gov/loc.pnp/pga.00121,Not found,1878-01-01,Feeding the carp - park at Fontainebleau / painted by P.C. Comte ; engraved by J. Ballin.,"engravings, fish, france, paintings, reproductions, social life, women",1 print : engraving. | Two noble women feeding carp.,France,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/pga/00100/00121r.jpg#h=640&w=464
//hdl.loc.gov/loc.pnp/pga.01210,Not found,1897-01-01,Sponge fishing,Not found,1 print.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/pga/01200/01210r.jpg#h=501&w=640
//hdl.loc.gov/loc.pnp/pga.09354,,1871-01-01,Little white kitties: fishing,"hand-colored, lithographs","1 print : lithograph, hand-colored.",Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/pga/09300/09354v.jpg#h=814&w=1024
http://hdl.loc.gov/loc.pnp/ppmsc.02385,Lomen Bros.,1903-01-01,"Tom Kod Peluk,"" Nome, Alaska","alaska, eskimos, ice fishing, indians of north america, inuit, nome, photographic prints, subsistence activities, united states","Title transcribed from item. Alternate title and date from caption accompanying item and from Glenbow Museum description of this image, 2022. Photo by Lomen Bros., Nome. Forms part of: Frank and Frances Carpenter collection (Library of Congress). Gift; Mrs. W. Chapin Huntington; 1951.","United states, Nome, Alaska","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 11453, carpenter collection, meeting of frontiers, prints & photographs online catalog (library of congress), prints and photographs division, catalog",['No known restrictions on publication.'],https://tile.loc.gov/storage-services/service/pnp/ppmsc/02300/02385r.jpg#h=453&w=640
//hdl.loc.gov/loc.pnp/ppmsc.05895,Smith Jessie Willcox 1863-1935,1916-01-01,"[Oh, don't hurt me! cried Tom.  I only want to look at you; you are so handsome","book illustrations, children, color, fairy tales, fish, paintings, tom (fictitious character : kingsley)","1 painting : charcoal, watercolor and oil ; image 57.5 x 41.7 cm.",Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"cabinet of american illustration, prints & photographs online catalog (library of congress), prints and photographs division, catalog","Publication may be restricted. For information see ""Cabinet of American Illustration,"" https://www.loc.gov/rr/print/res/111_cai.html",https://tile.loc.gov/storage-services/service/pnp/ppmsc/05800/05895r.jpg#h=640&w=464
https://hdl.loc.gov/loc.pnp/ppmsca.01947,Frissell Toni 1907-1988,1957,"[African American woman, seated on ground, fishing, at the Tidal Basin, Washington, D.C.]","african americans, fishing, nitrate film negatives, tidal basin (washington, d.c.), washington (d.c.), women",1 negative : nitrate film ; 120 medium format.,"Washington d.c., Tidal basin","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"american women: a gateway to library of congress resources for the study of women's history and culture in the united states, prints and photographs division, catalog","No known restrictions on publication. For information see: ""Toni Frissell photograph collection,"" https://hdl.loc.gov/loc.pnp/res.070.fris",https://tile.loc.gov/storage-services/service/pnp/ppmsca/01900/01947r.jpg#h=640&w=594
//hdl.loc.gov/loc.pnp/ppmsca.09305,Lindner,1870-01-01,"Allen & Ginter, Richmond, Virginia. 50 fish from American waters. You will catch one in each package of Virginia Bright, ... cigarettes / Lindner, Eddy & Clauss, lith., N.Y.","advertisements, allen & ginter, cigarette cards, cigarette industry, color, fish, lithographs, united states","1 print : lithograph, color ; 106 x 37.2 cm | Advertisement poster for Allen & Ginter, manufacturers of cigarettes, showing different types of fish.",United states,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/09300/09305r.jpg#h=640&w=231
